date,code,unit,money,month
2015-08-03,001051,-1,-999.1909999999999,201508
2015-09-01,000071,-1,-999.4709999999999,201509
2015-09-08,001051,-1,-999.3059999999999,201509
2015-11-02,000071,-1,-999.104,201511
2015-12-08,000071,-1,-999.908,201512
2015-12-14,160416,-1,-999.4010000000001,201512
2015-12-30,000071,-2,-999.306,201512
2016-01-11,000071,-1,-999.984,201601
2016-01-11,001051,-1,-999.3599999999999,201601
2016-02-01,001051,-1,-999.453,201602
2016-02-15,000071,-2,-999.0959999999999,201602
2016-02-29,000968,-1,-999.6951,201602
2016-03-01,001051,-1,-999.864,201603
2016-03-01,000071,-1,-999.8779999999999,201603
2016-03-01,001052,-1,-999.808,201603
2016-04-01,000071,-1,-999.856,201604
2016-04-01,001051,-1,-999.6959999999999,201604
2016-05-03,001051,-1,-999.6659999999999,201605
2016-05-09,001064,-1,-999.7470000000001,201605
2016-06-15,001051,-1,-999.7389999999999,201606
2016-06-24,000051,-1,-999.324,201606
2016-09-14,000614,-1,-999.964,201609
2016-11-01,001064,-1,-999.6664,201611
2016-12-01,050027,-1,-999.8720000000001,201612
2016-12-15,001180,-1,-999.6030000000001,201612
2016-12-15,100032,-1,-999.625,201612
2016-12-15,001051,1,1255.68,201612
2016-12-30,100032,-1,-999.625,201612
2017-01-16,001180,-1,-999.63,201701
2017-01-25,100032,-1,-999.621,201701
2017-01-25,000968,-1,-999.799,201701
2017-02-15,003376,-1,-999.8208000000001,201702
2017-03-31,001180,-1,-999.5578,201703
2017-04-14,000968,-1,-999.6954000000001,201704
2017-04-19,162411,-1,-999.5999999999999,201704
2017-04-25,001180,-1,-999.915,201704
2017-04-25,003376,-1,-999.4992,201704
2017-04-25,000968,-1,-999.2597999999999,201704
2017-04-28,000478,-1,-998.9812000000001,201704
2017-04-28,001180,-1,-999.292,201704
2017-05-23,000968,-2,-999.8836,201705
2017-05-23,100032,-1,-999.63,201705
2017-05-23,003376,-1,-999.9426,201705
2017-05-23,001052,-1,-999.803,201705
2017-05-23,001180,-1,-999.9415,201705
2017-06-30,110026,-1,-998.255,201706
2017-07-17,000968,-1,-999.6987,201707
2017-07-31,003765,-1,-999.36,201707
2017-07-31,003376,-1,-999.5425,201707
2017-07-31,000071,1,1258.0803,201707
2017-07-31,001180,-1,-999.4376,201707
2017-08-15,001061,-1,-999.1899999999999,201708
2017-08-15,162411,-1,-999.984,201708
2017-09-01,001064,-1,-999.363,201709
2017-09-01,000478,-1,-998.0698,201709
2017-09-15,001061,-1,-999.157,201709
2017-09-29,000478,-1,-997.9687,201709
2017-09-29,000216,-1,-999.1589999999999,201709
2017-10-16,270048,-1,-999.9490000000001,201710
2017-10-16,050027,-1,-999.104,201710
2017-10-27,270048,-1,-999.4599999999999,201710
2017-10-27,000478,-1,-997.6596,201710
2017-11-02,001052,-1,-999.7389999999999,201711
2017-11-02,001064,-1,-999.8100000000001,201711
2017-11-15,003376,-1,-999.6714000000001,201711
2017-11-15,000071,1,1316.2221,201711
2017-11-30,001064,-1,-999.5583,201711
2017-11-30,000478,-2,-997.884,201711
2017-11-30,003376,-1,-999.456,201711
2017-12-14,100032,-1,-999.5300000000001,201712
2017-12-14,502010,-1,-999.1872000000001,201712
2017-12-29,100032,-1,-999.984,201712
2017-12-29,000478,-1,-997.9264000000001,201712
